"","SAMPLE_ID","SumOfLength.cm.","SumOfProjArea.cm2.","SumOfSurfArea.cm2.","SumOfAvgDiam.mm.","SumOfRootVolume.cm3.","STEM","COTS_TOTAL","LEAF_TOTAL","LEAVES_TOTAL","Total.Of.PROJ_AREA_AG","LEAF","TRANSP_DATE","GERM_ID","COLOR","TLD","HD","H_num","HT","L_num","C_num","PWF","L.SFW","CWS","CWD","LWS","LWD","SWS","SWD","RWF","RWD","LWF_A","LWS_A","LWD_A","LWF_B","LWS_B","LWD_B","BWF_A","BWS_A","BWD_A","SWF_A","SWD_A","NOTES","AVG_SEED_WEIGHT","SPECIES","LOCATION_CODE","POP_CODE","SAMPLE_NUM","LETTER","COLOR","POP_ID","SLA","SRL","RMR","RALAR"
"12","ACMI_NMNC_CM_18_H1_O",5.0644,0.1163,0.3653,0.2296,0.002,NA,0.0614,NA,NA,0.0614,NA,"8/4/18","C3","O","8/14/18","8/14/18",1,0.6,2,2,0.004,0.006,0.0023,0.001,0.0021,8e-04,0.0011,NA,0.0023,9e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","18","H1","O","ACMI_NMNC_CM",NA,56.2711111111111,0.529411764705882,0.654473832301632
"13","ACMI_NMNC_CM_15_H2_O",28.5946,0.4793,1.5057,0.1676,0.006,NA,0.0736,NA,0.4416,0.5152,NA,"8/2/18","D10","O","8/14/18","8/25/18",2,1.3,2,2,0.0202,0.0109,0.0013,NA,0.0115,9e-04,NA,NA,0.0075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.75e-05,"ACMI","NMNC","CM","15","H2","O","ACMI_NMNC_CM",490.666666666667,NA,NA,0.481950729009553
"14","ACMI_UTNW_VE_1_H2_G",9.0825,0.1802,0.566,0.1984,0.003,NA,0.0712,NA,0.1231,0.1943,NA,"7/17/19","12B","G","7/31/19","8/10/19",2,1.6,3,2,0.0085,0.0067,0.0031,0.001,0.0035,0.0012,5e-04,NA,7e-04,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Enough plants",NA,0.0001125,"ACMI","UTNW","VE","1","H2","G","ACMI_UTNW_VE",102.583333333333,908.25,0.0769230769230769,0.481174899866489
"15","ACMI_UTNW_VE_1_H2_O",6.949,0.1273,0.4001,0.1833,0.002,NA,NA,NA,0.0998,0.0998,NA,"7/17/19","5A","O","7/31/19","8/10/19",2,1.4,3,2,0.0051,0.0028,0.0017,0.0027,NA,3e-04,NA,NA,NA,9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","1","H2","O","ACMI_UTNW_VE",332.666666666667,772.111111111111,0.230769230769231,0.560546014971378
"16","ACMI_UTNW_VE_2_H3_G",29.8569,0.6017,1.8905,0.2015,0.01,NA,0.0379,NA,0.2188,0.2567,NA,"7/17/19","10C","G","8/7/19","8/29/19",3,1.3,5,2,0.0164,0.0072,NA,NA,0.0042,7.5e-05,6e-04,NA,0.0083,2e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thinned on 8/28",NA,0.0001125,"ACMI","UTNW","VE","2","H3","G","ACMI_UTNW_VE",NA,NA,0.727272727272727,0.700955265610438
"17","ACMI_UTNW_VE_2_H3_O",25.9521,0.6111,1.9198,0.2355,0.011,NA,0.0487,NA,0.2122,0.2609,NA,"7/17/19","6B","O","8/2/19","8/29/19",3,1,5,2,0.0182,0.0087,4e-04,NA,0.0051,5e-04,6e-04,NA,0.0081,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","2","H3","O","ACMI_UTNW_VE",424.4,370.744285714286,0.583333333333333,0.700802752293578
"18","ACMI_UTNW_VE_3_H3_G",57.4104,1.2477,3.9198,0.2173,0.021,NA,NA,NA,2.4585,2.4585,NA,"7/17/19","11D","G","8/1/19","8/29/19",3,4.2,7,2,0.0983,0.0741,0.0033,NA,0.0602,0.0061,NA,NA,0.0167,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","3","H3","G","ACMI_UTNW_VE",403.032786885246,273.382857142857,0.25609756097561,0.336652096486968
"19","ACMI_UTNW_VE_3_H3_O",110.5341,2.0277,6.3702,0.1834,0.029,NA,NA,NA,2.9087,2.9087,NA,"7/17/19","4D","O","7/31/19","8/29/19",3,4.3,7,2,0.1296,0.0763,0.0027,NA,0.00518,0.0069,NA,NA,0.0342,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","3","H3","O","ACMI_UTNW_VE",421.550724637681,442.1364,0.265957446808511,0.410764929908435
"20","ACMI_UTNW_VE_5_H2_O",8.214,0.1791,0.5626,0.218,0.003,NA,0.0551,NA,NA,0.1046,NA,"7/17/19","5B","O","7/31/19","8/10/19",2,1.4,3,2,0.0048,0.0033,6e-04,NA,0.0017,5e-04,4e-04,4e-04,9e-04,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","5","H2","O","ACMI_UTNW_VE",NA,821.4,0.166666666666667,0.631300669721537
"21","ACMI_UTNW_VE_5_H2_G",5.23,0.1,0.3142,0.1912,0.002,NA,0.0542,NA,0.0461,0.1003,NA,"7/17/19","9B","G","7/31/19","8/10/19",2,1.4,2,2,0.0052,0.0029,0.001,5e-04,5e-04,9e-05,NA,NA,NA,0.000142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","5","H2","G","ACMI_UTNW_VE",512.222222222222,368.30985915493,0.612068965517241,0.499251123315027
"22","ACMI_UTNW_VE_8_H1_G",0.8159,0.0199,0.0626,0.2442,NA,NA,0.0231,NA,NA,0.0231,NA,"7/17/19","8A","G","7/24/19","7/27/19",1,2.2,NA,2,0.0024,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","8","H1","G","ACMI_UTNW_VE",NA,NA,NA,0.462790697674419
"23","ACMI_UTNW_VE_9_H4_G",664.9828,19.8004,62.2049,0.2978,0.463,NA,NA,4.8358,NA,4.8358,4.8358,"7/17/19","","G","8/1/19","10/9/19",4,15,11,NA,2.326,1.3776,NA,NA,1.6316,0.16,NA,NA,0.662,0.0501,0.1917,0.2121,0.0192,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","9","H4","G","ACMI_UTNW_VE",251.864583333333,132.731097804391,0.218491059747056,NA
"24","ACMI_UTNW_VE_10_H4_O",1076.1812,23.7832,74.7171,0.4549,0.43,NA,NA,9.7547,NA,9.7547,9.7547,"7/17/19","2B","O","8/1/19","10/9/19",4,18.6,11,NA,3.0206,1.9468,NA,NA,1.59,0.2192,NA,NA,0.6196,0.0491,0.451,0.451,0.0481,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","10","H4","O","ACMI_UTNW_VE",202.800415800416,219.18150712831,0.155183312262958,NA
"25","ACMI_UTNW_VE_11_H1_G",0.8435,0.0185,0.0581,0.2194,NA,NA,0.0215,NA,NA,0.0215,NA,"7/17/19","7D","G","","7/27/19",1,1.1,2,2,0.003,6e-04,NA,NA,5e-04,1e-04,8e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","11","H1","G","ACMI_UTNW_VE",NA,NA,NA,0.4625
"26","ACMI_UTNW_VE_13_H4_O",876.017,29.1912,91.707,0.3332,0.764,NA,NA,13.0785,NA,13.0785,13.0785,"7/20/19","D1","O","","10/12/19",4,16.1,10,NA,3.0544,1.5592,NA,NA,1.2566,0.1952,NA,NA,1.096,0.094,0.5193,0.5525,0.0612,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","13","H4","O","ACMI_UTNW_VE",213.700980392157,93.1932978723404,0.268264840182648,NA
"27","ACMI_UTNW_VE_17_H1_G",6.7134,0.1189,0.3736,0.1772,0.002,NA,0.0881,NA,0.0303,0.1184,NA,"8/25/19","E6","G","8/31/19","9/5/19",1,1.4,2,2,0.005,0.0031,0.0022,NA,1e-04,NA,9e-04,NA,0.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.0001125,"ACMI","UTNW","VE","17","H1","G","ACMI_UTNW_VE",NA,NA,NA,0.501053518752634
"28","ACMI_UTNW_CCC_1_H1_B",4.9697,0.1108,0.348,0.2229,0.002,NA,NA,NA,NA,NA,NA,"8/22/19","E6","B","","9/1/19",1,0.3,NA,NA,0.0012,9e-04,NA,NA,NA,NA,NA,NA,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Need ~6 more",NA,7.25e-05,"ACMI","UTNW","CCC","1","H1","B","ACMI_UTNW_CCC",NA,NA,NA,NA
"29","ACMI_UTNW_CCC_1_H1_R",0.018,3e-04,9e-04,0.1573,NA,NA,0.0263,NA,NA,0.0263,NA,"8/22/19","E9","R","","9/1/19",1,0.15,1,2,0.0021,0.0018,0.001,NA,9e-04,NA,NA,NA,4e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thinned 3, 4, 5 (9/19)",NA,7.25e-05,"ACMI","UTNW","CCC","1","H1","R","ACMI_UTNW_CCC",NA,NA,NA,0.0112781954887218
"30","ACMI_UTNW_CCC_2_H2_B",4.9829,0.086,0.27,0.1725,0.001,NA,0.0238,0.0727,NA,0.0965,0.0727,"8/22/19","E10","B","8/5/19","9/15/19",2,1.2,3,2,0.0035,0.0025,3e-04,NA,0.0014,NA,9e-05,NA,8e-04,9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,7 whole plant and leaves did NOT resaturate",NA,7.25e-05,"ACMI","UTNW","CCC","2","H2","B","ACMI_UTNW_CCC",NA,553.655555555555,NA,0.471232876712329
"31","ACMI_UTNW_CCC_2_H2_R",3.7238,0.067,0.2105,0.1799,0.001,NA,0.0028,NA,0.0297,0.0325,NA,"8/22/19","E11","R","","9/15/19",2,1.2,2,2,0.0025,0.0017,0.001,NA,4e-04,NA,7e-04,NA,9e-04,5.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.25e-05,"ACMI","UTNW","CCC","2","H2","R","ACMI_UTNW_CCC",NA,677.054545454545,NA,0.673366834170854
"32","ACMI_UTNW_CCC_4_H4_R",1778.0251,58.0745,182.4465,0.3266,1.49,NA,NA,14.6509,NA,14.6509,NA,"8/22/19","F4","R","9/5/19","11/17/19",4,19,NA,NA,7.284,4.6356,NA,NA,NA,0.5147,NA,NA,1.7384,0.1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.25e-05,"ACMI","UTNW","CCC","4","H4","R","ACMI_UTNW_CCC",NA,132.392040208488,0.20693374422188,NA
"33","ACMI_UTNW_CCC_5_H4_R",708.0976,26.1568,82.174,0.3694,0.759,NA,NA,14.1,NA,14.1,NA,"8/22/19","F8","R","8/31/19","11/20/19",4,17.2,13,NA,NA,1.59,NA,NA,NA,0.2204,NA,NA,0.8398,0.0724,0.2809,0.1228,0.034,0.2169,0.2169,0.031,NA,NA,NA,NA,"",NA,7.25e-05,"ACMI","UTNW","CCC","5","H4","R","ACMI_UTNW_CCC",216.923076923077,97.8035359116022,0.202347680268306,NA
"34","ACMI_UTNW_CCC_6_H3_B",9.9032,0.1818,0.5712,0.1836,0.003,NA,NA,NA,0.0759,0.0759,NA,"8/22/19","F9","B","9/5/19","10/3/19",3,1.2,5,NA,0.0055,0.0025,NA,NA,0.0022,2e-04,NA,NA,0.0026,0.0001915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.25e-05,"ACMI","UTNW","CCC","6","H3","B","ACMI_UTNW_CCC",379.5,517.138381201044,0.489144316730524,0.705471478463329
"35","ACMI_UTNW_CCC_6_H3_R",17.2887,0.4125,1.2959,0.2386,0.008,NA,0.0229,NA,0.1191,0.142,NA,"8/22/19","F10","R","8/29/19","10/3/19",3,1.4,4,2,0.0103,0.0046,NA,NA,0.0033,4e-04,8e-04,NA,0.0057,6e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.25e-05,"ACMI","UTNW","CCC","6","H3","R","ACMI_UTNW_CCC",297.75,288.145,0.6,0.743913435527502
"36","ACMI_UTNW_CCC_7_H4_R",1236.8167,42.5658,133.7243,0.3442,1.151,NA,NA,21.1321,NA,21.1321,NA,"8/22/19","","R","9/5/19","11/15/19",4,16.4,20,NA,NA,2.2946,NA,NA,NA,0.2409,NA,NA,1.2919,0.0741,0.5271,0.5272,0.0513,0.3144,0.3144,0.035,NA,NA,NA,NA,"",NA,7.25e-05,"ACMI","UTNW","CCC","7","H4","R","ACMI_UTNW_CCC",244.867902665122,166.911835357625,0.184649887864441,NA
"37","ACMI_UTNW_CCC_9_H2_B",3.6862,0.0787,0.2472,0.2135,0.001,NA,0.0219,NA,0.021,0.0429,NA,"9/30/19","I4","B","10/5/19","10/24/19",2,0.2,2,2,0.0021,0.0017,0.001,NA,6e-04,9e-05,NA,NA,0.001,0.000115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7.25e-05,"ACMI","UTNW","CCC","9","H2","B","ACMI_UTNW_CCC",233.333333333333,320.539130434783,0.560975609756098,0.647203947368421
"38","ELTR_UTSW_DNF_1_H3_R",304.4264,9.2914,29.1898,0.3052,0.223,NA,NA,NA,10.8429,10.8429,NA,"7/31/18",NA,"R","7/31/18","9/11/18",3,24.7,4,NA,0.2824,0.1366,NA,NA,0.1414,0.0275,NA,NA,0.1046,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","1","H3","R","ELTR_UTSW_DNF",394.287272727273,253.688666666667,0.30379746835443,0.461471220752646
"39","ELTR_UTSW_DNF_2_H1_B",50.4068,1.5687,4.9282,0.3112,0.038,NA,NA,NA,1.3363,1.3363,NA,"8/2/18",NA,"B","8/2/18","8/11/18",1,9.1,1,NA,0.0388,0.0124,NA,NA,0.0089,0.0056,0.0039,0.0022,0.0144,0.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","2","H1","B","ELTR_UTSW_DNF",238.625,186.691851851852,0.325301204819277,0.54
"40","ELTR_UTSW_DNF_4_H2_R",170.4012,4.7175,14.8203,0.2768,0.103,NA,NA,NA,4.2089,4.2089,NA,"8/9/18",NA,"R","9/9/18","9/1/18",2,13.8,3,NA,6.8293,2.8405,NA,NA,0.0295,0.0057,0.0047,6e-04,0.0468,0.0073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","4","H2","R","ELTR_UTSW_DNF",738.40350877193,233.426301369863,0.561538461538462,0.528488528410109
"41","ELTR_UTSW_DNF_10_H1_B",64.4523,1.8606,5.8453,0.2887,0.042,NA,NA,NA,1.0574,1.0574,NA,"8/11/18",NA,"B","8/11/18","8/22/18",1,10,2,NA,0.038,0.01,NA,NA,0.0047,0.0011,0.0015,4e-04,0.0182,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","10","H1","B","ELTR_UTSW_DNF",961.272727272727,292.965,0.666666666666667,0.637628512679918
"42","ELTR_UTSW_DNF_11_H2_Y",147.389,3.6785,11.5562,0.2496,0.072,NA,NA,NA,1.6367,1.6367,NA,"7/29/18",NA,"Y","7/29/18","8/22/18",2,9.4,2,NA,0.0567,0.0117,NA,NA,0.0055,0.0017,0.0012,NA,0.0286,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","11","H2","Y","ELTR_UTSW_DNF",962.764705882353,491.296666666667,0.638297872340426,0.69207179409994
"43","ELTR_UTSW_DNF_12_H1_B",86.1958,2.5165,7.9058,0.292,0.058,NA,NA,NA,1.664,1.664,NA,"7/29/18",NA,"B","7/29/18","8/8/18",1,12.7,2,NA,0.0514,0.0158,NA,NA,0.0134,0.0028,0.0037,6e-04,0.0273,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","12","H1","B","ELTR_UTSW_DNF",594.285714285714,391.799090909091,0.44,0.601961487860304
"44","ELTR_UTSW_DNF_12_H1_Y",48.913,1.4699,4.6178,0.3005,0.035,NA,NA,NA,1.0929,1.0929,NA,"7/29/18",NA,"Y","7/29/18","8/8/18",1,8.2,2,NA,0.0347,0.0117,NA,NA,0.0055,0.0017,0.0012,NA,0.0286,0.0038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","12","H1","Y","ELTR_UTSW_DNF",642.882352941176,128.718421052632,0.690909090909091,0.573552364601217
"45","ELTR_UTSW_DNF_16_H3_R",305.979,10.4936,32.9666,0.343,0.283,NA,NA,NA,15.9549,15.9549,NA,"8/10/18",NA,"R","8/10/18","9/20/18",3,24.9,3,NA,0.3809,0.1671,NA,NA,0.1594,0.0423,0.0171,0.0019,0.0644,0.0154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","16","H3","R","ELTR_UTSW_DNF",377.184397163121,198.687662337662,0.266897746967071,0.396755959695257
"46","ELTR_UTSW_DNF_18_H2_R",267.5338,6.9717,21.9023,0.2606,0.143,NA,NA,NA,3.3095,3.3095,NA,"8/3/18",NA,"R","8/3/18","8/29/18",2,14.4,3,NA,0.1158,0.039,NA,NA,0.0275,0.0074,0.0056,8e-04,0.0635,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","18","H2","R","ELTR_UTSW_DNF",447.22972972973,NA,0.159090909090909,0.678101778002568
"47","ELTR_UTSW_DNF_19_H2_B",213.3032,5.9287,18.6256,0.2779,0.129,NA,NA,NA,2.0063,2.0063,NA,"7/31/18",NA,"B","7/31/18","8/24/18",2,11.5,2,NA,0.0744,0.0155,NA,NA,0.0118,0.0027,0.0038,NA,0.0485,0.0054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTSW","DNF","19","H2","B","ELTR_UTSW_DNF",743.074074074074,395.005925925926,0.666666666666667,0.74715816005041
"48","ELTR_UTC_TMC_3_H1_R",6.977,0.1879,0.5904,0.2693,0.004,NA,NA,NA,0.1855,0.1855,NA,"",NA,"R","10/5/18","10/16/18",1,2.8,1,NA,0.0022,0.0015,NA,NA,0.011,0.0002394,NA,NA,NA,0.0002282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTC","TMC","3","H1","R","ELTR_UTC_TMC",774.853801169591,305.740578439965,0.488023952095808,0.503213711837172
"49","ELTR_UTC_TMC_8_H1_B",8.4723,0.2223,0.6985,0.5251,0.004,NA,NA,NA,0.0995,0.0995,NA,"10/4/18",NA,"B","10/4/18","10/13/18",1,2,1,NA,9e-04,7e-04,NA,NA,5e-04,0.0001034,NA,NA,6e-04,0.0001631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTC","TMC","8","H1","B","ELTR_UTC_TMC",962.282398452611,519.454322501533,0.612007504690432,0.690801740211311
"50","ELTR_UTC_TMC_8_H1_R",9.8784,0.2688,0.8446,0.2721,0.006,NA,NA,NA,0.1596,0.1596,NA,"10/4/18",NA,"R","10/4/18","10/13/18",1,3.1,1,NA,0.004,0.0017,NA,NA,0.0014,0.0001388,NA,NA,0.0013,9.62e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTC","TMC","8","H1","R","ELTR_UTC_TMC",1149.85590778098,NA,0.409361702127659,0.627450980392157
"51","ELTR_UTC_TMC_10_H2_B",42.4011,0.9844,3.0926,0.2322,0.018,NA,NA,NA,0.2734,0.2734,NA,"10/6/18",NA,"B","10/6/18","10/30/18",2,3.5,2,NA,0.0093,0.0022,NA,NA,0.0025,0.00052,NA,NA,0.0069,0.0010725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTC","TMC","10","H2","B","ELTR_UTC_TMC",525.769230769231,395.348251748252,0.673469387755102,0.78263634918111
"52","ELTR_UTC_TMC_11_H3_B",107.3939,2.6899,8.4507,0.2505,0.053,NA,NA,NA,2.6867,2.6867,NA,"10/8/18",NA,"B","10/8/18","11/20/18",3,9.8,5,NA,0.0519,0.0279,NA,NA,0.0293,0.0048,NA,NA,0.023,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTC","TMC","11","H3","B","ELTR_UTC_TMC",559.729166666667,511.399523809524,0.304347826086956,0.500297585834914
"53","ELTR_UTC_TMC_12_H1_B",10.7379,0.2539,0.7976,0.2364,0.005,NA,NA,NA,0.235,0.235,NA,"10/16/18",NA,"B","10/16/18","10/26/18",1,3,1,NA,0.0019,0.0013,NA,NA,0.0018,0.000316,NA,NA,7e-04,0.0003277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELTR","UTC","TMC","12","H1","B","ELTR_UTC_TMC",743.670886075949,327.674702471773,0.509088084511418,0.519329106156678
