,SAMPLE_ID,SumOfLength.cm.,SumOfProjArea.cm2.,SumOfSurfArea.cm2.,SumOfAvgDiam.mm.,SumOfRootVolume.cm3.,STEM,COTS_TOTAL,LEAF_TOTAL,Total.Of.PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L.SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT,SPECIES,LOCATION_CODE,POP_CODE,SAMPLE_NUM,LETTER,COLOR,POP_ID,SLA,LW_Max_A,LW_Max_B,BW_Max,LW_Max_Sum,LDMC,SRL,RMR,RALAR
28,ACMI_UTNW_VE_13_H4_O,876.017,29.1912,91.707,0.3332,0.764,NA,NA,13.0785,13.0785,13.0785,NA,20-Jul,D1,O,,12-Oct,4,16.1,10,NA,3.0544,1.5592,NA,NA,1.2566,0.1952,NA,NA,1.096,0.094,0.5193,0.5525,0.0612,NA,NA,NA,NA,NA,NA,NA,,NA,0.0001125,ACMI,UTNW,VE,13,H4,O,ACMI_UTNW_VE,213.7009804,0.5525,NA,NA,0.5525,0.110769231,93.19329787,0.26826484,NA
35,ACMI_UTNW_VE_5_H2_O,8.214,0.1791,0.5626,0.218,0.003,NA,0.0551,NA,0.1046,NA,NA,17-Jul,5B,O,31-Jul,10-Aug,2,1.4,3,2,0.0048,0.0033,6.00E-04,NA,0.0017,5.00E-04,4.00E-04,4.00E-04,9.00E-04,1.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0.0001125,ACMI,UTNW,VE,5,H2,O,ACMI_UTNW_VE,NA,NA,NA,NA,NA,0.294117647,821.4,0.1,0.63130067
36,ACMI_UTNW_VE_8_H1_G,0.8159,0.0199,0.0626,0.2442,NA,NA,0.0231,NA,0.0231,NA,NA,17-Jul,8A,G,24-Jul,27-Jul,1,2.2,NA,2,0.0024,0.0014,NA,8.40E-05,NA,NA,NA,NA,NA,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0.0001125,ACMI,UTNW,VE,8,H1,G,ACMI_UTNW_VE,NA,NA,NA,NA,NA,NA,163.18,0.373134328,0.462790698
37,ACMI_UTNW_VE_9_H4_G,664.9828,19.8004,62.2049,0.2978,0.463,NA,NA,4.8358,4.8358,4.8358,NA,17-Jul,,G,1-Aug,9-Oct,4,15,11,NA,2.326,1.3776,NA,NA,1.6316,0.16,NA,NA,0.662,0.0501,0.1917,0.2121,0.0192,NA,NA,NA,NA,NA,NA,NA,,NA,0.0001125,ACMI,UTNW,VE,9,H4,G,ACMI_UTNW_VE,251.8645833,0.2121,NA,NA,0.2121,0.090523338,132.7310978,0.21849106,NA
38,ARTR_UTSE_MO_1_H1_O,4.2297,0.1024,0.3218,0.2422,0.002,NA,0.055,NA,0.055,NA,NA,25-Jul,A5,O,3-Aug,4-Aug,1,0.7,2,2,0.0047,0.0041,0.003,1.00E-04,NA,NA,0.0023,8.00E-05,0.0013,0.000108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0003375,ARTR,UTSE,MO,1,H1,O,ARTR_UTSE_MO,NA,NA,NA,NA,NA,NA,391.6388889,0.375,0.650571792
40,ARTR_UTSE_MO_13_H1_G,1.2216,0.0326,0.1023,0.2666,0.001,NA,0.05,NA,0.05,NA,NA,28-Jul,A6,G,7-Aug,7-Aug,1,0.7,1,2,0.0031,0.0016,0.0013,0.000144,3.00E-04,3.70E-05,5.00E-04,NA,7.00E-04,7.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0003375,ARTR,UTSE,MO,13,H1,G,ARTR_UTSE_MO,NA,NA,NA,NA,NA,0.123333333,174.5142857,0.278884462,0.394673123
42,ARTR_UTSE_MO_15_H2_G,2.6128,0.0525,0.1649,0.2009,0.001,NA,0.0516,NA,0.0516,NA,NA,28-Jul,B10,G,17-Aug,21-Aug,2,0.7,NA,2,0.0036,0.002,NA,NA,NA,NA,NA,NA,7.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0003375,ARTR,UTSE,MO,15,H2,G,ARTR_UTSE_MO,NA,NA,NA,NA,NA,NA,NA,NA,0.504322767
45,ARTR_UTSE_MO_19_H4_G,1545.2407,44.6697,140.3338,0.2891,1.014,NA,NA,1.5633,1.5633,NA,NA,28-Jul,C7,G,7-Aug,26-Oct,4,13.2,235,NA,2.3714,1.2739,NA,NA,0.935,0.2803,0.2776,0.0841,0.867,0.1111,0.0058,0.0058,0.0018,NA,NA,NA,0.0326,0.0301,0.0109,0.04,0.0123,,0.0003375,ARTR,UTSE,MO,19,H4,G,ARTR_UTSE_MO,868.5,0.0058,NA,0.0326,0.0384,0.330729167,139.0855716,0.232767651,NA
46,ARTR_UTSE_MO_2_H4_O,936.672,25.4344,79.9045,0.2715,0.542,NA,NA,5.6604,5.6604,NA,NA,25-Jul,A8,O,3-Aug,19-Oct,4,12.8,107,NA,1.9819,1.185,NA,NA,1.0108,0.1807,0.0417,0.0286,0.6278,0.0622,0.0207,0.0166,0.0043,NA,NA,NA,0.1148,0.0985,0.0212,0.0654,0.0156,,0.0003375,ARTR,UTSE,MO,2,H4,O,ARTR_UTSE_MO,1316.372093,0.0207,NA,0.1148,0.1355,0.188191882,150.5903537,0.225525743,NA
49,ARTR_UTSE_MO_5_H1_G,2.8362,0.0747,0.2348,0.2635,0.002,NA,0.0929,NA,0.1103,NA,0.0174,25-Jul,B8 or B11,G,3-Aug,4-Aug,1,1.4,2,2,0.0099,0.0045,0.0066,0.000259,NA,NA,0.0013,NA,0.0017,0.000136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0003375,ARTR,UTSE,MO,5,H1,G,ARTR_UTSE_MO,NA,NA,NA,NA,NA,NA,208.5441176,0.344303797,0.403783784
50,ARTR_UTSE_MO_7_H4_O,1399.7716,38.0092,119.4093,0.2715,0.811,NA,NA,2.2789,2.2789,NA,NA,25-Jul,C9,O,7-Aug,19-Oct,4,12.6,167,NA,2.2112,1.1984,NA,NA,0.9839,0.2908,0.1713,0.061,0.8257,0.115,0.0169,0.0157,0.0051,NA,NA,NA,0.0544,0.0511,0.0135,0.0198,0.007,,0.0003375,ARTR,UTSE,MO,7,H4,O,ARTR_UTSE_MO,446.8431373,0.0169,NA,0.0544,0.0713,0.260869565,121.7192696,0.243695698,NA
52,ARTRWY_UTC_MC_1_H1_O,3.5626,0.0796,0.25,0.2233,0.001,NA,0.0355,NA,0.0451,NA,0.0096,25-Jul,A1 or C5,O,2-Aug,4-Aug,1,0.6,2,2,0.0037,0.0024,0.0019,8.90E-05,NA,NA,NA,NA,3.00E-04,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.00027,ARTRWY,UTC,MC,1,H1,O,ARTRWY_UTC_MC,NA,NA,NA,NA,NA,NA,712.52,0.35971223,0.638331997
55,ARTRWY_UTC_MC_14_H4_G,389.6907,11.2354,35.2969,0.2883,0.254,NA,NA,1.0485,1.0485,NA,NA,25-Jul,B6,G,2-Aug,17-Oct,4,8.5,36,NA,0.9017,0.4757,NA,NA,0.4045,0.0637,0.0723,0.0129,0.2227,0.0219,0.0136,0.0148,0.0021,NA,NA,NA,0.0123,0.0131,0.0018,0.0092,0.0013,,0.00027,ARTRWY,UTC,MC,14,H4,G,ARTRWY_UTC_MC,499.2857143,0.0148,NA,0.0131,0.0279,0.139784946,177.9409589,0.217693837,NA
57,ARTRWY_UTC_MC_16_H4_O,1236.9321,33.353,104.7816,0.5394,0.706,NA,NA,2.6403,2.6403,NA,NA,25-Jul,B2,O,7-Aug,17-Oct,4,13.5,102,NA,1.9249,1.0541,NA,NA,0.9358,0.1717,0.1198,0.0311,0.7868,0.0825,0.0229,0.198,0.0043,NA,NA,NA,0.0521,0.0483,0.008,0.0537,0.0129,,0.00027,ARTRWY,UTC,MC,16,H4,O,ARTRWY_UTC_MC,614.0232558,0.198,NA,0.0521,0.2501,0.049180328,149.9311636,0.284875691,NA
64,ARTRWY_UTC_MC_9_H1_G,1.1719,0.0323,0.1016,0.2759,0.001,NA,0.0229,NA,0.0229,NA,NA,25-Jul,A6,G,,4-Aug,1,0.4,NA,2,0.0018,0.0015,0.0025,5.00E-05,NA,NA,NA,NA,2.00E-04,4.10E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.00027,ARTRWY,UTC,MC,9,H1,G,ARTRWY_UTC_MC,NA,NA,NA,NA,NA,NA,285.8292683,0.450549451,0.585144928
66,ARTRWY_UTSC_B_13_H1_G,6.1702,0.149,0.4681,0.2415,0.003,NA,0.0535,NA,0.1036,NA,0.0501,1-Aug,C4,G,9-Aug,11-Aug,1,1.1,2,2,0.0086,0.0038,0.0031,0.001,0.001,NA,0.0011,6.00E-04,0.0021,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.000285,ARTRWY,UTSC,B,13,H1,G,ARTRWY_UTSC_B,NA,NA,NA,NA,NA,NA,41.13466667,0.483870968,0.5898654
67,ARTRWY_UTSC_B_13_H1_O,6.3444,0.1444,0.4538,0.2277,0.003,NA,0.0832,NA,0.0832,NA,NA,1-Aug,C6,O,9-Aug,11-Aug,1,1,2,2,0.007,0.0025,0.0018,1.66E-05,7.00E-04,NA,0.0011,NA,0.0021,8.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.000285,ARTRWY,UTSC,B,13,H1,O,ARTRWY_UTSC_B,NA,NA,NA,NA,NA,NA,79.305,0.97967181,0.634446397
69,ARTRWY_UTSC_B_17_H4_G,1190.2913,28.359,89.0924,0.2383,0.531,NA,NA,1.4792,1.4792,NA,NA,7-Aug,A2,G,14-Aug,31-Oct,4,10.2,172,NA,1.8668,NA,NA,NA,0.9215,0.2181,0.0849,0.0235,0.7607,0.0905,0.0074,0.0072,0.0014,NA,NA,NA,0.0299,0.0277,0.0068,0.035,0.0094,,0.000285,ARTRWY,UTSC,B,17,H4,G,ARTRWY_UTSC_B,1056.571429,0.0074,NA,0.0299,0.0373,0.219839142,131.5239006,0.271364318,NA
72,ARTRWY_UTSC_B_2_H4_G,1517.4478,35.3879,111.1744,0.5004,0.655,NA,NA,3.5924,3.5924,NA,NA,25-Jul,B3,G,3-Aug,17-Oct,4,11.4,116,NA,2.8787,1.549,NA,NA,1.3321,0.2307,0.2151,0.0492,NA,0.0864,0.0299,0.0291,0.0045,NA,NA,NA,0.0539,0.061,0.0091,0.0134,0.0031,,0.000285,ARTRWY,UTSC,B,2,H4,G,ARTRWY_UTSC_B,798.3111111,0.0299,NA,0.061,0.0909,0.149614961,175.6305324,0.233009709,NA
74,ARTRWY_UTSC_B_5_H1_G,2.2777,0.0491,0.1544,0.2158,0.001,NA,0.0681,NA,0.0681,NA,NA,25-Jul,C12,G,9-Aug,4-Aug,1,1.4,NA,2,0.0059,0.0034,0.0033,0.00028,NA,NA,0.0022,6.00E-05,4.00E-04,9.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.000285,ARTRWY,UTSC,B,5,H1,G,ARTRWY_UTSC_B,NA,NA,NA,NA,NA,NA,253.0777778,0.209302326,0.41894198
75,ARTRWY_UTSC_B_6_H4_O,3164.422,105.1746,330.4158,0.6639,2.746,NA,NA,6.8588,6.8588,NA,NA,25-Jul,D8,O,3-Aug,17-Oct,4,14.8,162,NA,6.3291,3.5857,NA,NA,3.128,0.7745,0.4322,0.1664,2.6791,0.3633,0.0282,0.0267,0.0064,NA,NA,NA,0.1373,0.1245,0.0328,0.0201,0.0065,,0.000285,ARTRWY,UTSC,B,6,H4,O,ARTRWY_UTSC_B,1071.6875,0.0282,NA,0.1373,0.1655,0.236858006,87.10217451,0.277201282,NA
86,ARTRWY_UTSW_BJ_16_H4_G,1328.7649,29.4227,92.4341,0.2214,0.512,NA,NA,0.5966,0.5966,0.5966,NA,28-Jul,D6,G,8-Aug,27-Oct,4,10.6,NA,NA,3.1084,1.9931,NA,NA,1.7578,0.2469,0.2359,0.0424,0.4345,0.0963,0.0148,0.0086,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,Late H4; subset did not fully resaturate,0.0002125,ARTRWY,UTSW,BJ,16,H4,G,ARTRWY_UTSW_BJ,372.875,0.0148,NA,NA,0.0148,0.108108108,137.9818172,0.248708678,NA
92,ARTRWY_UTSW_BJ_9_H4_G,167.4218,4.917,15.4473,0.2937,0.113,NA,NA,0.6979,0.6979,0.6979,NA,25-Jul,C4,G,7-Aug,17-Oct,4,4.4,NA,NA,0.247,0.128,NA,NA,NA,0.0188,NA,NA,0.0744,0.0097,0.0139,0.014,0.0027,NA,NA,NA,NA,0.0871,0.0198,NA,NA,,0.0002125,ARTRWY,UTSW,BJ,9,H4,G,ARTRWY_UTSW_BJ,258.4814815,0.014,NA,NA,0.014,1.607142857,172.5997938,0.310897436,NA
93,ARTRWY_UTSW_MV_1_H1_O,2.471,0.0703,0.2209,0.2846,0.002,NA,0.0335,NA,0.0422,NA,0.0087,26-Jul,A3 OR A5,O,,4-Aug,1,NA,2,2,0.0079,0.0074,0.0014,0.000144,NA,4.10E-05,0.0011,4.00E-05,0.0011,8.30E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0002425,ARTRWY,UTSW,MV,1,H1,O,ARTRWY_UTSW_MV,212.195122,NA,NA,NA,NA,NA,297.7108434,0.269480519,0.624888889
96,ARTRWY_UTSW_MV_13_H1_O,2.6765,0.0542,0.1703,0.2025,0.001,NA,0.0611,NA,0.0722,NA,0.0111,31-Jul,C7,O,10-Aug,10-Aug,1,0.5,1,2,0.0042,0.0022,0.0023,5.00E-04,3.00E-04,NA,2.00E-04,NA,0.0014,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0002425,ARTRWY,UTSW,MV,13,H1,O,ARTRWY_UTSW_MV,NA,NA,NA,NA,NA,NA,133.825,0.285714286,0.428797468
100,ARTRWY_UTSW_MV_20_H4_G,934.2236,29.7328,93.4084,0.3183,0.743,NA,NA,0.5055,0.5055,NA,NA,1-Aug,D7,G,9-Aug,27-Oct,4,10.1,NA,NA,2.388,1.5078,NA,NA,1.2765,0.285,0.2321,0.0612,0.7583,0.0965,0.013,0.014,0.0024,NA,NA,NA,NA,NA,0.0046,NA,NA,,0.0002425,ARTRWY,UTSW,MV,20,H4,G,ARTRWY_UTSW_MV,210.625,0.014,NA,NA,0.014,0.5,96.81073575,0.216805212,NA
101,ARTRWY_UTSW_MV_3_H3_O,NA,NA,NA,NA,NA,NA,NA,NA,4.7432,NA,4.6392,26-Jul,,O,7-Aug,6-Sep,3,5.1,8,NA,0.2107,0.1575,NA,NA,0.1238,0.018,0.0162,0.0015,0.0632,0.0056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0002425,ARTRWY,UTSW,MV,3,H3,O,ARTRWY_UTSW_MV,257.7333333,NA,NA,NA,NA,0.1453958,NA,0.22310757,NA
102,ARTRWY_UTSW_MV_4_H4_G,918.0144,34.5736,108.6163,0.3766,1.023,NA,NA,7.0888,7.0888,NA,NA,26-Jul,B5,G,4-Aug,19-Oct,4,NA,114,NA,NA,2.1979,NA,NA,1.9948,0.2863,0.2031,0.039,0.9249,0.1021,0.0277,0.0315,0.0036,NA,NA,NA,0.1262,0.0944,0.0175,0.0243,0.0048,,0.0002425,ARTRWY,UTSW,MV,4,H4,G,ARTRWY_UTSW_MV,1969.111111,0.0315,NA,0.1262,0.1577,0.133798351,89.91326151,0.236890951,NA
103,ARTRWY_UTSW_MV_5_H1_G,2.9118,0.0534,0.1677,0.1833,0.001,NA,0.0627,NA,0.0627,NA,NA,26-Jul,B7 OR B11,G,,4-Aug,1,1.2,NA,2,0.0045,0.0025,0.002,NA,NA,NA,9.00E-04,NA,6.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.0002425,ARTRWY,UTSW,MV,5,H1,G,ARTRWY_UTSW_MV,NA,NA,NA,NA,NA,NA,NA,NA,0.45994832
105,ARTRWY_UTSW_MV_9_H4_O,1184.1711,27.2627,85.6482,0.2302,0.493,NA,NA,3.8836,3.8836,NA,NA,26-Jul,D3,O,7-Aug,18-Oct,4,10.6,115,NA,2.9289,1.8299,NA,NA,1.8299,0.2526,0.1674,0.0325,0.641,0.0733,0.0219,0.0219,0.0025,NA,NA,NA,0.0722,0.07,0.0089,0.0067,0.0013,,0.0002425,ARTRWY,UTSW,MV,9,H4,O,ARTRWY_UTSW_MV,1553.44,0.0219,NA,0.0722,0.0941,0.121147715,161.5513097,0.203103353,NA
106,ARTRWY_UTSW_OCR_1_H1_O,3.248,0.0728,0.2288,0.2242,0.001,NA,0.0441,NA,0.0593,NA,0.0152,25-Jul,A2,O,4-Aug,4-Aug,1,1,2,2,0.0044,0.0039,0.0015,NA,NA,NA,0.0019,NA,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.000285,ARTRWY,UTSW,OCR,1,H1,O,ARTRWY_UTSW_OCR,NA,NA,NA,NA,NA,NA,NA,NA,0.551097653
107,ARTRWY_UTSW_OCR_13_H1_G,2.9561,0.0545,0.1711,0.1843,0.001,NA,0.0363,NA,0.0544,NA,0.0181,28-Jul,A4,G,7-Aug,7-Aug,1,0.9,2,2,0.0033,0.0029,9.00E-04,5.00E-04,8.00E-04,NA,4.00E-04,NA,0.0011,9.30E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.000285,ARTRWY,UTSW,OCR,13,H1,G,ARTRWY_UTSW_OCR,NA,NA,NA,NA,NA,NA,317.8602151,0.15682968,0.500459137
108,ARTRWY_UTSW_OCR_13_H1_O,0.5041,0.0137,0.0429,0.271,NA,NA,0.0249,NA,0.0249,NA,NA,28-Jul,A7,O,,7-Aug,1,1.1,NA,2,0.0015,0.0014,9.00E-04,4.00E-04,NA,NA,NA,NA,1.00E-04,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.000285,ARTRWY,UTSW,OCR,13,H1,O,ARTRWY_UTSW_OCR,NA,NA,NA,NA,NA,NA,100.82,0.111111111,0.35492228
114,ARTRWY_UTSW_OCR_4_H4_G,1779.9964,43.7158,137.3373,0.4711,0.848,NA,NA,4.3249,4.3249,NA,NA,25-Jul,B1,G,7-Aug,17-Oct,4,15.1,157,NA,3.3753,2.042,NA,NA,1.765,0.2896,0.2898,0.069,0.992,0.1005,0.0201,0.0224,0.0026,NA,NA,NA,0.0699,0.0382,0.0105,0.0043,0.0011,,0.000285,ARTRWY,UTSW,OCR,4,H4,G,ARTRWY_UTSW_OCR,1663.423077,0.0224,NA,0.0699,0.0923,0.141928494,177.1140697,0.217673814,NA
