SAMPLE_ID,SumOfLength(cm),SumOfProjArea(cm2),SumOfSurfArea(cm2),SumOfAvgDiam(mm),SumOfRootVolume(cm3),STEM,COTS_TOTAL,LEAF_TOTAL,LEAVES_TOTAL,Total Of PROJ_AREA_AG,LEAF,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L+SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT
ACMI_UTNW_VE_5_H2_O,8.214,0.1791,0.5626,0.218,0.003,,0.0551,0,0,0.1046,,7/17/19,5B,O,7/31/19,8/10/19,2,1.4,3,2,0.0048,0.0033,0.0006,0,0.0017,0.0005,0.0004,0.0004,0.0009,0.0001,,,,,,,,,,,,,0.0001125
ACMI_UTNW_VE_5_H2_G,5.23,0.1,0.3142,0.1912,0.002,,0.0542,0,0.0461,0.1003,,7/17/19,9B,G,7/31/19,8/10/19,2,1.4,2,2,0.0052,0.0029,0.001,0.0005,0.0005,0.00009,,,,0.000142,,,,,,,,,,,,,0.0001125
ACMI_UTNW_VE_8_H1_G,0.8159,0.0199,0.0626,0.2442,0,,0.0231,0,0,0.0231,,7/17/19,8A,G,7/24/19,7/27/19,1,2.2,,2,0.0024,0.0014,,0,0,0,0,0,0,0,,,,,,,,,,,,,0.0001125
ACMI_UTNW_VE_9_H4_G,664.9828,19.8004,62.2049,0.2978,0.463,,0,4.8358,0,4.8358,4.8358,7/17/19,,G,8/1/19,10/9/19,4,15,11,,2.326,1.3776,,,1.6316,0.16,,,0.662,0.0501,0.1917,0.2121,0.0192,,,,,,,,,,0.0001125
ACMI_UTNW_VE_10_H4_O,1076.1812,23.7832,74.7171,0.4549,0.43,,0,9.7547,0,9.7547,9.7547,7/17/19,2B,O,8/1/19,10/9/19,4,18.6,11,,3.0206,1.9468,,,1.59,0.2192,,,0.6196,0.0491,0.451,0.451,0.0481,,,,,,,,,,0.0001125
ACMI_UTNW_VE_11_H1_G,0.8435,0.0185,0.0581,0.2194,0,,0.0215,0,0,0.0215,,7/17/19,7D,G,,7/27/19,1,1.1,2,2,0.003,0.0006,,,0.0005,0.0001,0.0008,0,0,0,,,,,,,,,,,,,0.0001125
ACMI_UTNW_VE_13_H4_O,876.017,29.1912,91.707,0.3332,0.764,,0,13.0785,0,13.0785,13.0785,7/20/19,D1,O,,10/12/19,4,16.1,10,,3.0544,1.5592,,,1.2566,0.1952,,,1.096,0.094,0.5193,0.5525,0.0612,,,,,,,,,,0.0001125
ACMI_UTNW_VE_17_H1_G,6.7134,0.1189,0.3736,0.1772,0.002,,0.0881,0,0.0303,0.1184,,8/25/19,E6,G,8/31/19,9/5/19,1,1.4,2,2,0.005,0.0031,0.0022,0,0.0001,0,0.0009,0,0.0013,,,,,,,,,,,,,,0.0001125
ACMI_UTNW_CCC_1_H1_B,4.9697,0.1108,0.348,0.2229,0.002,,0,0,0,,,8/22/19,E6,B,,9/1/19,1,0.3,,,0.0012,0.0009,,,0,0,0,0,0.0012,0,,,,,,,,,,,Need ~6 more,,0.0000725
ACMI_UTNW_CCC_1_H1_R,0.018,0.0003,0.0009,0.1573,0,,0.0263,0,0,0.0263,,8/22/19,E9,R,,9/1/19,1,0.15,1,2,0.0021,0.0018,0.001,,0.0009,0,,0,0.0004,0,,,,,,,,,,,"Thinned 3, 4, 5 (9/19)",,0.0000725
ACMI_UTNW_CCC_2_H2_B,4.9829,0.086,0.27,0.1725,0.001,,0.0238,0.0727,0,0.0965,0.0727,8/22/19,E10,B,8/5/19,9/15/19,2,1.2,3,2,0.0035,0.0025,0.0003,,0.0014,0,0.00009,0,0.0008,0.00009,,,,,,,,,,,"4,7 whole plant and leaves did NOT resaturate",,0.0000725
ACMI_UTNW_CCC_2_H2_R,3.7238,0.067,0.2105,0.1799,0.001,,0.0028,0,0.0297,0.0325,,8/22/19,E11,R,,9/15/19,2,1.2,2,2,0.0025,0.0017,0.001,,0.0004,0,0.0007,0,0.0009,0.000055,,,,,,,,,,,,,0.0000725
ACMI_UTNW_CCC_4_H4_R,1778.0251,58.0745,182.4465,0.3266,1.49,,0,14.6509,0,14.6509,,8/22/19,F4,R,9/5/19,11/17/19,4,19,,,7.284,4.6356,,,,0.5147,,,1.7384,0.1343,,,,,,,,,,,,,0.0000725
ACMI_UTNW_CCC_5_H4_R,708.0976,26.1568,82.174,0.3694,0.759,,0,14.1,0,14.1,,8/22/19,F8,R,8/31/19,11/20/19,4,17.2,13,,,1.59,,,,0.2204,,,0.8398,0.0724,0.2809,0.1228,0.034,0.2169,0.2169,0.031,,,,,,,0.0000725
ACMI_UTNW_CCC_6_H3_B,9.9032,0.1818,0.5712,0.1836,0.003,,0,0,0.0759,0.0759,,8/22/19,F9,B,9/5/19,10/3/19,3,1.2,5,,0.0055,0.0025,,,0.0022,0.0002,0,0,0.0026,0.0001915,,,,,,,,,,,,,0.0000725
ACMI_UTNW_CCC_6_H3_R,17.2887,0.4125,1.2959,0.2386,0.008,,0.0229,0,0.1191,0.142,,8/22/19,F10,R,8/29/19,10/3/19,3,1.4,4,2,0.0103,0.0046,0,0,0.0033,0.0004,0.0008,0,0.0057,0.0006,,,,,,,,,,,,,0.0000725
ACMI_UTNW_CCC_7_H4_R,1236.8167,42.5658,133.7243,0.3442,1.151,,0,21.1321,0,21.1321,,8/22/19,,R,9/5/19,11/15/19,4,16.4,20,,,2.2946,,,,0.2409,,,1.2919,0.0741,0.5271,0.5272,0.0513,0.3144,0.3144,0.035,,,,,,,0.0000725
ACMI_UTNW_CCC_9_H2_B,3.6862,0.0787,0.2472,0.2135,0.001,,0.0219,0,0.021,0.0429,,9/30/19,I4,B,10/5/19,10/24/19,2,0.2,2,2,0.0021,0.0017,0.001,0,0.0006,0.00009,0,0,0.001,0.000115,,,,,,,,,,,,,0.0000725
